Append to a file	def append_to_file(file_path: str, content: str) -> None
Binary search in sorted list	def binary_search(items: List[Any], target: Any) -> int
Calculate BMI	def calculate_bmi(weight_kg: float, height_m: float) -> float
Calculate Fibonacci number using recursion	def fibonacci_recursive(n: int) -> int
Calculate age from birthdate	def calculate_age(birthdate: date) -> int
Calculate area of a circle	def circle_area(radius: float) -> float
Calculate average of a list	def calculate_average(numbers: List[float]) -> float
Calculate compound interest	def compound_interest(principal: float, rate: float, time: int, n: int) -> float
Calculate distance between points	def calculate_distance(x1: float, y1: float, x2: float, y2: float) -> float
Calculate dot product of vectors	def dot_product(v1: List[float], v2: List[float]) -> float
Calculate edit distance between strings	def edit_distance(s1: str, s2: str) -> int
Calculate factorial	def factorial(n: int) -> int
Calculate factorial using recursion	def factorial_recursive(n: int) -> int
Calculate fibonacci sequence	def fibonacci(n: int) -> List[int]
Calculate nth Catalan number	def catalan_number(n: int) -> int
Calculate perimeter of rectangle	def rectangle_perimeter(length: float, width: float) -> float
Calculate sum of digits	def sum_of_digits(n: int) -> int
Capitalize first letter of each word	def capitalize_words(s: str) -> str
Check if list is sorted	def is_sorted(items: List[Any]) -> bool
Check if matrix is symmetric	def is_symmetric_matrix(matrix: List[List[Any]]) -> bool
Check if number is Armstrong number	def is_armstrong_number(n: int) -> bool
Check if number is perfect number	def is_perfect_number(n: int) -> bool
Check if number is perfect square	def is_perfect_square(n: int) -> bool
Check if number is prime	def is_prime(n: int) -> bool
Check if string contains substring	def contains_substring(s: str, substring: str) -> bool
Check if string is palindrome	def is_palindrome(s: str) -> bool
Check if string is valid parentheses	def is_valid_parentheses(s: str) -> bool
Check if two strings are anagrams	def are_anagrams(s1: str, s2: str) -> bool
Check if year is leap year	def is_leap_year(year: int) -> bool
Compress string	def compress_string(s: str) -> str
Convert HEX to RGB color	def hex_to_rgb(hex_color: str) -> Tuple[int, int, int]
Convert HH:MM:SS to seconds	def hms_to_seconds(time_str: str) -> int
Convert RGB to HEX color	def rgb_to_hex(r: int, g: int, b: int) -> str
Convert binary to decimal	def binary_to_decimal(binary: str) -> int
Convert celsius to fahrenheit	def celsius_to_fahrenheit(celsius: float) -> float
Convert decimal to binary	def decimal_to_binary(n: int) -> str
Convert fahrenheit to celsius	def fahrenheit_to_celsius(fahrenheit: float) -> float
Convert seconds to HH:MM:SS	def seconds_to_hms(seconds: int) -> str
Convert string to lowercase	def to_lowercase(s: str) -> str
Convert string to uppercase	def to_uppercase(s: str) -> str
Count vowels in a string	def count_vowels(s: str) -> int
